SAMPLE_NAME	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	SAMPLE	LIBRARY	READ_GROUP
10A	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	26217077	26217077	22513153	1	0.858721	20641138	0.916848	1880481916	987853346	663853383	228775187	1366463019	0.878342	0.121658	0.59808	30.506236	22.184536	0.373067	0.516051	50.892796	0.01499	7.394845	0.86209	0.582854	0.36794	0.238464	0.161249	0.114152	0.02596	33911920	32.309636	-1	-1	-1	-1	-1	21.36622	1.514632
11A	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	62269048	62269048	55187318	1	0.886272	49927684	0.904695	4695961291	1578378936	1444581829	1673000526	2271731687	0.643736	0.356264	0.52213	48.742459	36.797921	0.250968	0.361213	32.562652	0.01034	3.679792	0.934124	0.79612	0.621738	0.463706	0.33777	0.244477	0.060044	68617679	8.763779	10.571599	14.153449	-1	-1	-1	15.562585	1.657918
12A	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	50212015	50212015	44191115	1	0.88009	39820854	0.901105	3767750581	1456324748	1317943436	993482397	2095331918	0.736319	0.263681	0.52494	44.973262	33.943057	0.287163	0.413165	37.446315	0.01036	3.771451	0.926823	0.785806	0.598661	0.432512	0.304742	0.214262	0.047412	62628784	7.964106	9.944098	14.81723	-1	-1	-1	14.577892	1.854214
12M	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	36216512	36216512	32586270	1	0.899763	29424648	0.902977	2782554044	995119689	936468396	850965959	1445324946	0.694178	0.305822	0.515182	30.730631	23.436491	0.272049	0.395128	34.646926	0.01214	3.906082	0.913923	0.71293	0.46057	0.276486	0.164423	0.10076	0.010494	52017684	9.273995	13.04096	-1	-1	-1	-1	12.112125	2.278559
12P	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	50613957	50613957	45154825	1	0.892142	40858790	0.90486	3841298111	1357367452	1220351778	1263578881	1946313273	0.671054	0.328946	0.526577	41.917328	31.528728	0.265525	0.380733	34.233588	0.010668	3.941091	0.924944	0.764297	0.56581	0.3985	0.274792	0.190205	0.039007	62524849	9.212309	11.758366	18.93113	-1	-1	-1	14.757468	1.917176
13A	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	40904507	40904507	36539453	1	0.893287	33217905	0.909097	3155588449	1061830397	1005523764	1088234288	1544715531	0.655141	0.344859	0.513618	32.790747	25.017268	0.257017	0.3739	32.599264	0.010718	3.573895	0.919872	0.72423	0.481144	0.300005	0.186547	0.120197	0.015502	49233832	8.904278	12.190161	-1	-1	-1	-1	14.634601	1.791097
14A	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	73844100	73844100	64478640	1	0.873173	57943304	0.898643	5521040807	2085328832	1941291895	1494420080	3031780727	0.729323	0.270677	0.517886	64.397752	49.138647	0.2796	0.4065	36.592037	0.011115	4.094887	0.93509	0.823736	0.684898	0.553193	0.440814	0.350142	0.122639	86670333	8.419454	9.820983	12.163538	17.929828	-1	-1	18.341346	1.609786
3A	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	39275765	39275765	34490862	1	0.878172	30974783	0.898058	2855414748	1202261956	905311933	747840859	1656055466	0.738097	0.261903	0.570448	37.127462	26.867974	0.303077	0.417473	40.790864	0.013498	6.716994	0.875396	0.639415	0.428908	0.291999	0.206566	0.152995	0.045755	47798870	18.667978	-1	-1	-1	-1	-1	24.988206	1.03011
3M	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	28194550	28194550	25180212	1	0.893088	22499080	0.893522	2056271618	901336692	653040650	501894276	1231173097	0.75592	0.24408	0.57987	27.834486	19.991907	0.31652	0.432347	42.465826	0.015447	6.663969	0.844607	0.55423	0.331218	0.20702	0.139119	0.099283	0.019	41179072	20.565134	-1	-1	-1	-1	-1	24.308564	1.189357
3P	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	48809911	48809911	41514637	1	0.850537	37088700	0.893389	3421755111	1569476726	1144817730	707460655	2149742121	0.793246	0.206754	0.578226	48.467547	34.842837	0.318365	0.436071	44.436409	0.011687	6.968567	0.88236	0.685671	0.503666	0.371973	0.279549	0.215233	0.080943	52006927	17.208595	-1	-1	-1	-1	-1	25.555494	1.19025
4A	nexterarapidcapture_expandedexome_probes	3137161264	32382013	62286318	1.923485	33976807	33976807	29650890	1	0.87268	26559434	0.895738	2444164501	1092243993	806347919	545572589	1497517675	0.776786	0.223214	0.575292	33.72996	24.277901	0.318285	0.436383	43.293454	0.012627	6.069475	0.867278	0.616541	0.39833	0.262212	0.180785	0.131457	0.034551	42254071	16.241589	-1	-1	-1	-1	-1	24.066028	1.179893
